comm,slip,pf,sharpe,win_rate,num_trades,total_return_pct,mdd_total_pct,mdd_capital_at_risk_pct
0.0005,0.0005,0.9023134850295819,-0.2270021874150457,0.6147540983606558,122,-1.232349678916722,2.912447228970183,23.067279615512103
0.0005,0.001,0.8550877937228131,-0.30529394170035606,0.6260869565217392,115,-1.658157960960993,3.285769400312144,22.795283803721457
0.0005,0.002,0.6701286934369339,-0.6625742063790967,0.5794392523364486,107,-3.592423680234702,4.834701320684253,22.997376051994845
0.0005,0.003,0.7181985289397695,-0.5518526383932159,0.6190476190476191,105,-3.0991089217745627,4.004217919879228,22.795283803722565
0.0005,0.005,0.47740286046295555,-1.0337116937360866,0.5604395604395604,91,-6.023288002886096,7.184058408708105,22.795283803722167
0.001,0.0005,0.8639344789541504,-0.3623532835764945,0.6147540983606558,122,-1.9554569993000759,3.479321859541462,23.067279615510795
0.001,0.001,0.819526917324747,-0.43457087299518843,0.6260869565217392,115,-2.3523843118758214,3.8219250343108357,22.795283803722
0.001,0.002,0.6411634245809849,-0.7869441670316233,0.5794392523364486,107,-4.273264631825169,5.36229845303483,23.016131228160972
0.001,0.003,0.688903999909868,-0.6691334802315853,0.6190476190476191,105,-3.762517376550345,4.544470955642666,22.79528380372119
0.001,0.005,0.4567512250110565,-1.1327907194520253,0.5604395604395604,91,-6.6249402448962496,7.668407608002492,22.795283803721343
0.002,0.0005,0.7917907649492506,-0.6286616078416772,0.6147540983606558,122,-3.386042612351803,4.673176726588924,23.067279615511115
0.002,0.001,0.7523661448389846,-0.6885555557544543,0.6260869565217392,115,-3.726375556248851,4.885485023771063,22.795283803721787
0.002,0.002,0.5862759097760026,-1.029199426739929,0.5794392523364486,107,-5.620758319754238,6.435436564475216,23.053641580494777
0.002,0.003,0.6331748199621081,-0.8979107775679659,0.6190476190476191,105,-5.075939107242844,5.657863846712097,22.795283803721887
0.002,0.005,0.41720552810242867,-1.3246336224942208,0.5604395604395604,91,-7.816887636530801,8.629671704575559,22.795283803722267
0.005,0.0005,0.6063978469037256,-1.3742972855831421,0.6147540983606558,122,-7.555412513227178,8.168248751782158,23.06727961551138
0.005,0.001,0.5778508720555007,-1.3978197462135484,0.6260869565217392,115,-7.735016050680543,8.257687676754399,22.7952838037213
0.005,0.002,0.44253353097828857,-1.691934042105851,0.5794392523364486,107,-9.552048425228199,9.90512903356774,23.16617263749413
0.005,0.003,0.4858248204195283,-1.5272815323444575,0.6190476190476191,105,-8.911159500846132,9.033007441888042,22.79528380372223
0.005,0.005,0.3121136669751061,-1.8448528536989246,0.5384615384615384,91,-11.303550842532761,11.56501622265912,22.97024356176368
